"Date","BC_emissions","C2F6_emissions","CF4_emissions","CH4_emissions","CO_emissions","ffi_emissions","luc_emissions","HFC125_emissions","HFC134a_emissions","HFC245fa_emissions","N2O_emissions","NMVOC_emissions","NOX_emissions","OC_emissions","SF6_emissions","SO2_emissions"
2006,NA,NA,NA,NA,NA,NA,0.7058,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,0.703632,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,0.697544,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,0.688182,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,8.70988,2.08443,9.60927,373.393,877.942,9.14902,0.676295,31.1159,155.369,23.8281,6.84524,162.978,39.6743,36.9303,6.31375,67884.4
2011,NA,NA,NA,NA,NA,NA,0.82157,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,0.837529,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,0.854366,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,0.87172,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,9.07903,2.07386,9.47298,391.379,961.876,9.64605,0.889306,31.1159,209.799,38.379,7.33819,172.914,42.3549,39.8681,7.21184,72808.9
2016,NA,NA,NA,NA,NA,NA,0.0669877,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,0.0596209,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,0.0586206,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,0.0616507,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,7.89263,2.13566,9.60856,408.239,840.608,10.7556,0.0672642,93.0634,278.112,63.7586,7.64741,162.368,39.6518,33.6004,8.11464,67775.5
2021,NA,NA,NA,NA,NA,NA,0.0392827,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,0.0463849,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,0.0543457,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,NA,NA,NA,NA,NA,NA,0.0628492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,7.50514,2.19695,9.78215,427.947,802.999,11.7265,0.0716668,95.564,367.168,85.0592,8.05856,160.462,38.2536,32.2473,8.96908,63395.3
2026,NA,NA,NA,NA,NA,NA,0.101944,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,NA,NA,NA,NA,NA,NA,0.108353,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,NA,NA,NA,NA,NA,NA,0.115069,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,NA,NA,NA,NA,NA,NA,0.121963,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,7.19748,2.25445,9.94515,442.593,775.624,12.6372,0.128933,157.712,482.647,127.383,8.48562,159.464,37.015,31.6043,9.89754,59606.5
2031,NA,NA,NA,NA,NA,NA,0.095086,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,NA,NA,NA,NA,NA,NA,0.101763,NA,NA,NA,NA,NA,NA,NA,NA,NA
2033,NA,NA,NA,NA,NA,NA,0.108537,NA,NA,NA,NA,NA,NA,NA,NA,NA
2034,NA,NA,NA,NA,NA,NA,0.115313,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035,6.94851,2.29417,10.0196,452.427,746.647,13.3934,0.122017,161.045,537.573,140.558,8.84975,158.899,36.0527,30.8157,10.7275,56882.9
2036,NA,NA,NA,NA,NA,NA,0.0390475,NA,NA,NA,NA,NA,NA,NA,NA,NA
2037,NA,NA,NA,NA,NA,NA,0.0487342,NA,NA,NA,NA,NA,NA,NA,NA,NA
2038,NA,NA,NA,NA,NA,NA,0.0578337,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039,NA,NA,NA,NA,NA,NA,0.0663695,NA,NA,NA,NA,NA,NA,NA,NA,NA
2040,6.66853,2.32026,10.0257,458.172,711.369,14.0266,0.0743684,164.068,593.084,153.845,9.17744,157.542,35.0602,29.5686,11.4977,54519.6
2041,NA,NA,NA,NA,NA,NA,0.0888005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,NA,NA,NA,NA,NA,NA,0.0952397,NA,NA,NA,NA,NA,NA,NA,NA,NA
2043,NA,NA,NA,NA,NA,NA,0.101449,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,NA,NA,NA,NA,NA,NA,0.107403,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045,6.51881,2.36662,10.3643,473.906,699.409,14.6738,0.11309,166.76,648.644,167.189,9.6157,158.106,34.6365,29.128,12.3904,52538.4
2046,NA,NA,NA,NA,NA,NA,0.0756099,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,NA,NA,NA,NA,NA,NA,0.0786367,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,NA,NA,NA,NA,NA,NA,0.0818075,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049,NA,NA,NA,NA,NA,NA,0.0850417,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050,6.3473,2.40414,10.6611,484.087,679.847,15.1648,0.0882797,169.198,702.735,180.241,10.0204,157.253,34.0577,28.3088,13.1584,50618.5
2051,NA,NA,NA,NA,NA,NA,0.0360568,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,NA,NA,NA,NA,NA,NA,0.0362005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2053,NA,NA,NA,NA,NA,NA,0.0368986,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054,NA,NA,NA,NA,NA,NA,0.0379891,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055,6.18755,2.43706,10.932,487.288,662.352,15.672,0.0393483,171.485,758.693,193.754,10.2573,156.672,33.639,27.3086,13.8794,48762.4
2060,6.05785,2.46684,11.1843,490.397,649.919,16.2019,NA,173.663,817.507,207.911,10.4623,156.448,33.3525,26.3692,14.5449,46869.5
2065,5.98557,2.49138,11.397,491.15,646.275,16.6935,NA,175.505,877.901,222.404,10.6542,156.26,33.1591,25.7461,15.1458,44983.8
2070,5.92249,2.50978,11.5712,491.04,642.659,17.2436,NA,176.962,939.243,237.088,10.8045,156.521,33.0671,25.0836,15.6847,43254.8
2075,5.90081,2.52205,11.7062,490.215,644.268,17.7141,NA,178.002,1000.1,251.635,10.9271,156.928,32.98,24.711,16.1512,41496.7
2080,5.91305,2.52731,11.792,485.825,647.949,17.8716,NA,178.593,1057.87,265.408,10.9999,156.755,32.5645,24.505,16.5174,38680
2085,5.96054,2.52467,11.8279,480.768,653.231,18.0616,NA,178.726,1112.28,278.328,11.0558,156.759,32.4056,24.3958,16.7622,36656.5
2090,6.02637,2.51892,11.8394,474.236,659.373,18.1942,NA,178.451,1162.89,290.378,11.0844,156.947,32.3399,24.3721,16.938,34765.9
2095,6.11428,2.50913,11.8205,468.269,667.127,18.3096,NA,177.797,1207.43,300.974,11.0896,157.5,32.3694,24.4405,17.0409,33082.3
2100,6.21917,2.49388,11.765,462.227,676.365,18.423,NA,176.727,1252.27,311.574,11.0729,158.493,32.4733,24.5896,17.1052,31488.3
"Date","BC_emissions","C2F6_emissions","CF4_emissions","CH4_emissions","CO_emissions","ffi_emissions","luc_emissions","HFC125_emissions","HFC134a_emissions","HFC245fa_emissions","N2O_emissions","NMVOC_emissions","NOX_emissions","OC_emissions","SF6_emissions","SO2_emissions"
2006,NA,NA,NA,NA,NA,NA,0.7058,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA,NA,0.703632,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA,NA,0.697544,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA,NA,0.688182,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,8.70988,2.08443,9.60927,373.393,877.942,9.14902,0.676295,31.1159,155.369,23.8281,6.84524,162.978,39.6743,36.9303,6.31375,67884.4
2011,NA,NA,NA,NA,NA,NA,0.82157,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA,NA,0.837529,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,0.854366,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,0.87172,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,9.07903,2.07386,9.47298,391.379,961.876,9.64605,0.889306,31.1159,209.799,38.379,7.33819,172.914,42.3549,39.8681,7.21184,72808.9
2016,NA,NA,NA,NA,NA,NA,0.0669877,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,0.0596209,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA,NA,0.0586206,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA,NA,0.0616507,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020,7.89263,2.13566,9.60856,408.239,840.608,10.7556,0.0672642,93.0634,278.112,63.7586,7.64741,162.368,39.6518,33.6004,8.11464,67775.5
2021,NA,NA,NA,NA,NA,NA,0.0392827,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,0.0463849,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,NA,NA,NA,NA,NA,NA,0.0543457,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,NA,NA,NA,NA,NA,NA,0.0628492,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,7.50514,2.19695,9.78215,427.947,802.999,11.7265,0.0716668,95.564,367.168,85.0592,8.05856,160.462,38.2536,32.2473,8.96908,63395.3
2026,NA,NA,NA,NA,NA,NA,0.101944,NA,NA,NA,NA,NA,NA,NA,NA,NA
2027,NA,NA,NA,NA,NA,NA,0.108353,NA,NA,NA,NA,NA,NA,NA,NA,NA
2028,NA,NA,NA,NA,NA,NA,0.115069,NA,NA,NA,NA,NA,NA,NA,NA,NA
2029,NA,NA,NA,NA,NA,NA,0.121963,NA,NA,NA,NA,NA,NA,NA,NA,NA
2030,7.19748,2.25445,9.94515,442.593,775.624,12.6372,0.128933,157.712,482.647,127.383,8.48562,159.464,37.015,31.6043,9.89754,59606.5
2031,NA,NA,NA,NA,NA,NA,0.095086,NA,NA,NA,NA,NA,NA,NA,NA,NA
2032,NA,NA,NA,NA,NA,NA,0.101763,NA,NA,NA,NA,NA,NA,NA,NA,NA
2033,NA,NA,NA,NA,NA,NA,0.108537,NA,NA,NA,NA,NA,NA,NA,NA,NA
2034,NA,NA,NA,NA,NA,NA,0.115313,NA,NA,NA,NA,NA,NA,NA,NA,NA
2035,6.94851,2.29417,10.0196,452.427,746.647,13.3934,0.122017,161.045,537.573,140.558,8.84975,158.899,36.0527,30.8157,10.7275,56882.9
2036,NA,NA,NA,NA,NA,NA,0.0390475,NA,NA,NA,NA,NA,NA,NA,NA,NA
2037,NA,NA,NA,NA,NA,NA,0.0487342,NA,NA,NA,NA,NA,NA,NA,NA,NA
2038,NA,NA,NA,NA,NA,NA,0.0578337,NA,NA,NA,NA,NA,NA,NA,NA,NA
2039,NA,NA,NA,NA,NA,NA,0.0663695,NA,NA,NA,NA,NA,NA,NA,NA,NA
2040,6.66853,2.32026,10.0257,458.172,711.369,14.0266,0.0743684,164.068,593.084,153.845,9.17744,157.542,35.0602,29.5686,11.4977,54519.6
2041,NA,NA,NA,NA,NA,NA,0.0888005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,NA,NA,NA,NA,NA,NA,0.0952397,NA,NA,NA,NA,NA,NA,NA,NA,NA
2043,NA,NA,NA,NA,NA,NA,0.101449,NA,NA,NA,NA,NA,NA,NA,NA,NA
2044,NA,NA,NA,NA,NA,NA,0.107403,NA,NA,NA,NA,NA,NA,NA,NA,NA
2045,6.51881,2.36662,10.3643,473.906,699.409,14.6738,0.11309,166.76,648.644,167.189,9.6157,158.106,34.6365,29.128,12.3904,52538.4
2046,NA,NA,NA,NA,NA,NA,0.0756099,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,NA,NA,NA,NA,NA,NA,0.0786367,NA,NA,NA,NA,NA,NA,NA,NA,NA
2048,NA,NA,NA,NA,NA,NA,0.0818075,NA,NA,NA,NA,NA,NA,NA,NA,NA
2049,NA,NA,NA,NA,NA,NA,0.0850417,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050,6.3473,2.40414,10.6611,484.087,679.847,15.1648,0.0882797,169.198,702.735,180.241,10.0204,157.253,34.0577,28.3088,13.1584,50618.5
2051,NA,NA,NA,NA,NA,NA,0.0360568,NA,NA,NA,NA,NA,NA,NA,NA,NA
2052,NA,NA,NA,NA,NA,NA,0.0362005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2053,NA,NA,NA,NA,NA,NA,0.0368986,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054,NA,NA,NA,NA,NA,NA,0.0379891,NA,NA,NA,NA,NA,NA,NA,NA,NA
2055,6.18755,2.43706,10.932,487.288,662.352,15.672,0.0393483,171.485,758.693,193.754,10.2573,156.672,33.639,27.3086,13.8794,48762.4
2060,6.05785,2.46684,11.1843,490.397,649.919,16.2019,NA,173.663,817.507,207.911,10.4623,156.448,33.3525,26.3692,14.5449,46869.5
2065,5.98557,2.49138,11.397,491.15,646.275,16.6935,NA,175.505,877.901,222.404,10.6542,156.26,33.1591,25.7461,15.1458,44983.8
2070,5.92249,2.50978,11.5712,491.04,642.659,17.2436,NA,176.962,939.243,237.088,10.8045,156.521,33.0671,25.0836,15.6847,43254.8
2075,5.90081,2.52205,11.7062,490.215,644.268,17.7141,NA,178.002,1000.1,251.635,10.9271,156.928,32.98,24.711,16.1512,41496.7
2080,5.91305,2.52731,11.792,485.825,647.949,17.8716,NA,178.593,1057.87,265.408,10.9999,156.755,32.5645,24.505,16.5174,38680
2085,5.96054,2.52467,11.8279,480.768,653.231,18.0616,NA,178.726,1112.28,278.328,11.0558,156.759,32.4056,24.3958,16.7622,36656.5
2090,6.02637,2.51892,11.8394,474.236,659.373,18.1942,NA,178.451,1162.89,290.378,11.0844,156.947,32.3399,24.3721,16.938,34765.9
2095,6.11428,2.50913,11.8205,468.269,667.127,18.3096,NA,177.797,1207.43,300.974,11.0896,157.5,32.3694,24.4405,17.0409,33082.3
2100,6.21917,2.49388,11.765,462.227,676.365,18.423,NA,176.727,1252.27,311.574,11.0729,158.493,32.4733,24.5896,17.1052,31488.3
